Date,Open,High,Low,Close,Adj Close,Volume,Price Movement
9/11/2020,1944,1949.5,1937.800049,1937.800049,1937.800049,73,Down
9/14/2020,1946.300049,1953.099976,1943,1953.099976,1953.099976,55,Up
9/15/2020,1955.800049,1968.5,1955.800049,1956.300049,1956.300049,74,Up
9/16/2020,1961.300049,1961.400024,1956.699951,1960.199951,1960.199951,124,Up
9/17/2020,1939,1946,1933.699951,1940,1940,67,Down
9/18/2020,1950.5,1952.099976,1949,1952.099976,1952.099976,38,Up
9/21/2020,1946.199951,1946.199951,1883.400024,1901.199951,1901.199951,52,Down
9/22/2020,1913.099976,1913.099976,1898.599976,1898.599976,1898.599976,331,Down
9/23/2020,1875.5,1875.5,1859.900024,1859.900024,1859.900024,5,Down
9/24/2020,1851.5,1868.300049,1851.5,1868.300049,1868.300049,365,Up
9/25/2020,1856.300049,1857.699951,1856.300049,1857.699951,1857.699951,4,Down
9/28/2020,1872.800049,1872.800049,1872.800049,1872.800049,1872.800049,10455,Up
9/29/2020,1876.5,1895.400024,1872.400024,1894.300049,1894.300049,3283,Up
9/30/2020,1893,1899.699951,1879.800049,1887.5,1887.5,600,Down
10/1/2020,1884.099976,1909.599976,1882.5,1908.400024,1908.400024,730,Up
10/2/2020,1893.900024,1913,1893.900024,1900.199951,1900.199951,530,Down
10/5/2020,1898.900024,1915.599976,1884.699951,1912.5,1912.5,1360,Up
10/6/2020,1906.599976,1918,1874.400024,1901.099976,1901.099976,968,Down
10/7/2020,1874.099976,1889.800049,1873.099976,1883.599976,1883.599976,50,Down
10/8/2020,1893,1893,1882.699951,1888.599976,1888.599976,348,Up
10/9/2020,1909.300049,1929.099976,1905.099976,1919.5,1919.5,580,Up
10/12/2020,1924,1926.5,1921.599976,1922.5,1922.5,96,Up
10/13/2020,1921.900024,1922.199951,1887,1888.5,1888.5,191,Down
10/14/2020,1889.699951,1910.800049,1882.5,1901.300049,1901.300049,33,Up
10/15/2020,1897.300049,1906.300049,1889.599976,1903.199951,1903.199951,254,Up
10/16/2020,1898.5,1900.800049,1898.5,1900.800049,1900.800049,53,Down
10/19/2020,1907.300049,1907.800049,1899.5,1906.400024,1906.400024,43,Up
10/20/2020,1901.300049,1910.400024,1896.099976,1910.400024,1910.400024,329,Up
10/21/2020,1913.599976,1927.300049,1913.599976,1924.599976,1924.599976,1202,Up
10/22/2020,1924.300049,1924.300049,1898.199951,1901.099976,1901.099976,899,Down
10/23/2020,1899.900024,1913.300049,1896.199951,1902,1902,287,Up
10/26/2020,1895.5,1907,1893.5,1902.699951,1902.699951,242,Up
10/27/2020,1904.599976,1908.800049,1904.400024,1908.800049,1908.800049,176,Up
10/28/2020,1870.900024,1876.199951,1870.900024,1876.199951,1876.199951,277,Down
10/29/2020,1876.099976,1879.800049,1858.800049,1865.599976,1865.599976,240,Down
10/30/2020,1862.800049,1886.599976,1862.800049,1877.400024,1877.400024,725,Up
11/2/2020,1872.900024,1894.699951,1872.900024,1890.400024,1890.400024,190,Up
11/3/2020,1891.5,1908.5,1891.5,1908.5,1908.5,712,Up
11/4/2020,1893.800049,1907,1885.300049,1894.599976,1894.599976,782,Down
11/5/2020,1901.699951,1948,1901.699951,1945.300049,1945.300049,135,Up
11/6/2020,1940.800049,1958.800049,1940.800049,1950.300049,1950.300049,304,Up
11/9/2020,1955.599976,1963.199951,1847.099976,1853.199951,1853.199951,745,Down
11/10/2020,1879.300049,1885.300049,1871.199951,1875.400024,1875.400024,276,Up
11/11/2020,1878.800049,1878.800049,1855.5,1860.699951,1860.699951,222,Down
11/12/2020,1869,1878.5,1866.599976,1872.599976,1872.599976,220,Up
11/13/2020,1877,1890.099976,1876.800049,1885.699951,1885.699951,240,Up
11/16/2020,1874.599976,1887.300049,1871,1887.300049,1887.300049,6,Up
11/17/2020,1888.400024,1888.400024,1884.5,1884.5,1884.5,59,Down
11/18/2020,1873.5,1873.5,1873.5,1873.5,1873.5,152,Down
11/19/2020,1865.800049,1865.800049,1856,1861.099976,1861.099976,59,Down
11/20/2020,1871.199951,1872.599976,1871.199951,1872.599976,1872.599976,1900,Up
11/23/2020,1834.800049,1837.800049,1829.199951,1837.800049,1837.800049,843,Down
11/24/2020,1829.300049,1829.300049,1799.300049,1804.800049,1804.800049,1041,Down
11/25/2020,1801.400024,1805.699951,1801.400024,1805.699951,1805.699951,205754,Up
11/27/2020,1806.099976,1817,1770.699951,1781.900024,1781.900024,71804,Down
11/30/2020,1785,1787.199951,1762.300049,1775.699951,1775.699951,3145,Down
12/1/2020,1775,1815.900024,1774.900024,1814.099976,1814.099976,1859,Up
12/2/2020,1811.300049,1830,1807.800049,1825.699951,1825.699951,771,Up
12/3/2020,1829.199951,1842,1825.300049,1836.800049,1836.800049,1765,Up
12/4/2020,1840.699951,1847.599976,1828.199951,1835.900024,1835.900024,1213,Down
12/7/2020,1836.5,1866.900024,1820.800049,1861.800049,1861.800049,1427,Up
12/8/2020,1863,1875.800049,1861.800049,1870.800049,1870.800049,121,Up
12/9/2020,1867.099976,1867.099976,1827,1834.599976,1834.599976,215,Down
12/10/2020,1833.199951,1849.099976,1828,1833.599976,1833.599976,177,Down
12/11/2020,1838.5,1846,1829.099976,1839.800049,1839.800049,109,Up
12/14/2020,1835.5,1835.699951,1822.699951,1828.699951,1828.699951,258,Down
12/15/2020,1833.5,1853.599976,1833.199951,1852.300049,1852.300049,961,Up
12/16/2020,1856.5,1864.699951,1850.5,1856.099976,1856.099976,1090,Up
12/17/2020,1874.199951,1896.199951,1874.199951,1887.199951,1887.199951,414,Up
12/18/2020,1882.400024,1889.5,1882.300049,1885.699951,1885.699951,276,Down
12/21/2020,1884.800049,1908,1869.099976,1879.199951,1879.199951,136,Down
12/22/2020,1882.199951,1882.199951,1861,1866.599976,1866.599976,233,Down
12/23/2020,1867,1878.800049,1864.5,1874.699951,1874.699951,82,Up
12/24/2020,1877.300049,1879.900024,1875.699951,1879.900024,1879.900024,46,Up
12/28/2020,1895.5,1895.800049,1873.699951,1877.199951,1877.199951,75,Down
12/29/2020,1881.300049,1881.300049,1879.699951,1879.699951,1879.699951,343,Up
12/30/2020,1879.900024,1895.800049,1877.300049,1891,1891,444,Up
12/31/2020,1897,1901.300049,1892.699951,1893.099976,1893.099976,127,Up
1/4/2021,1912.199951,1945.099976,1912.199951,1944.699951,1944.699951,154,Up
1/5/2021,1941.699951,1952.699951,1941.300049,1952.699951,1952.699951,113,Up
1/6/2021,1952,1959.900024,1901.5,1906.900024,1906.900024,331,Down
1/7/2021,1922.599976,1926.699951,1912,1912.300049,1912.300049,122,Up
1/8/2021,1908,1908,1834.099976,1834.099976,1834.099976,60,Down
1/11/2021,1826.5,1849.599976,1826.5,1849.599976,1849.599976,20,Up
1/12/2021,1849,1859.699951,1839.400024,1842.900024,1842.900024,176,Down
1/13/2021,1858,1858.599976,1853.599976,1853.599976,1853.599976,189,Up
1/14/2021,1836.699951,1850.699951,1836.699951,1850.300049,1850.300049,149,Down
1/15/2021,1829.400024,1829.400024,1825,1829.300049,1829.300049,31,Down
1/19/2021,1802,1842.900024,1802,1839.5,1839.5,13,Up
1/20/2021,1847.800049,1866.599976,1844.400024,1865.900024,1865.900024,16,Up
1/21/2021,1865.300049,1868,1865.300049,1865.300049,1865.300049,6,Down
1/22/2021,1854.900024,1855.699951,1852.699951,1855.699951,1855.699951,8,Down
1/25/2021,1864.699951,1864.699951,1851.800049,1854.900024,1854.900024,26,Down
1/26/2021,1855.800049,1855.800049,1850.699951,1850.699951,1850.699951,59,Down
1/27/2021,1844.900024,1844.900024,1844.900024,1844.900024,1844.900024,195540,Down
1/28/2021,1843.400024,1862.900024,1831.5,1837.900024,1837.900024,27283,Down
1/29/2021,1842,1876,1838.699951,1847.300049,1847.300049,1634,Up
2/1/2021,1866.599976,1871.900024,1850,1860.800049,1860.800049,1494,Up
2/2/2021,1859.599976,1861.300049,1827.599976,1830.5,1830.5,1293,Down
2/3/2021,1834.800049,1842.400024,1829.800049,1832.199951,1832.199951,1195,Up
2/4/2021,1832.199951,1832.199951,1782.800049,1788.900024,1788.900024,2375,Down
2/5/2021,1794.300049,1813.5,1790.900024,1810.900024,1810.900024,1278,Up
2/8/2021,1816.300049,1836.699951,1809,1831.900024,1831.900024,254,Up
2/9/2021,1841.900024,1843.300049,1830.699951,1835.300049,1835.300049,184,Up
2/10/2021,1842.599976,1851.099976,1837,1840.599976,1840.599976,543,Up
2/11/2021,1840.5,1845,1820.900024,1824.900024,1824.900024,602,Down
2/12/2021,1825,1827.5,1809.199951,1821.599976,1821.599976,259,Down
2/16/2021,1820.900024,1823.400024,1787.300049,1797.199951,1797.199951,1141,Down
2/17/2021,1785.800049,1789.699951,1768.800049,1771.099976,1771.099976,614,Down
2/18/2021,1776.099976,1784.599976,1766,1773.400024,1773.400024,587,Up
2/19/2021,1764.300049,1787.599976,1764.300049,1775.800049,1775.800049,118,Up
2/22/2021,1784,1807.800049,1784,1806.699951,1806.699951,165,Up
2/23/2021,1809.599976,1811.300049,1796.400024,1804.400024,1804.400024,569,Down
2/24/2021,1805.800049,1805.800049,1796.400024,1796.400024,1796.400024,1500,Down
2/25/2021,1801.5,1802,1766.699951,1774.400024,1774.400024,1049,Down
2/26/2021,1768.099976,1768.199951,1718.800049,1728.099976,1728.099976,1593,Down
3/1/2021,1737.099976,1747,1720.300049,1722.5,1722.5,407,Down
3/2/2021,1709.400024,1733.099976,1708.699951,1733.099976,1733.099976,867,Up
3/3/2021,1730,1732.400024,1703.5,1715.300049,1715.300049,501,Down
3/4/2021,1706.5,1717.400024,1700.199951,1700.199951,1700.199951,521,Down
3/5/2021,1690.599976,1701,1685,1698,1698,302,Down
3/8/2021,1704.699951,1705.400024,1673.699951,1677.699951,1677.699951,1290,Down
3/9/2021,1686.199951,1717.5,1685.199951,1716.599976,1716.599976,335,Up
3/10/2021,1713.599976,1722.900024,1711,1721.5,1721.5,412,Up
3/11/2021,1725.599976,1737.5,1720.199951,1722.300049,1722.300049,18,Up
3/12/2021,1715.900024,1722.5,1699,1719.5,1719.5,80,Down
3/15/2021,1729.5,1731.900024,1722.800049,1728.900024,1728.900024,147,Up
3/16/2021,1732.300049,1733.900024,1726,1730.599976,1730.599976,729,Up
3/17/2021,1735.300049,1750.099976,1725.599976,1726.800049,1726.800049,488,Down
3/18/2021,1745.800049,1750.300049,1721.800049,1732.199951,1732.199951,138,Up
3/19/2021,1742.199951,1742.199951,1733.599976,1741.400024,1741.400024,13,Up
3/22/2021,1737.800049,1737.800049,1737.800049,1737.800049,1737.800049,51,Down
3/23/2021,1724.699951,1724.699951,1724.699951,1724.699951,1724.699951,6,Down
3/24/2021,1727.5,1732.900024,1727.5,1732.900024,1732.900024,26,Up
3/25/2021,1732.699951,1733.199951,1724.5,1724.900024,1724.900024,15,Down
3/26/2021,1721.300049,1732.199951,1721.300049,1732.199951,1732.199951,33,Up
3/29/2021,1712.099976,1712.099976,1712.099976,1712.099976,1712.099976,135457,Down
3/30/2021,1711,1712.599976,1676.5,1683.900024,1683.900024,25316,Down
3/31/2021,1683.699951,1713.800049,1676.5,1713.800049,1713.800049,762,Up
4/1/2021,1706.800049,1728.800049,1706.400024,1726.5,1726.5,720,Up
4/5/2021,1727.900024,1729.699951,1721.900024,1727,1727,275,Up
4/6/2021,1726.900024,1744.800049,1726.900024,1741.5,1741.5,890,Up
4/7/2021,1742.699951,1742.699951,1733.699951,1740.099976,1740.099976,557,Down
4/8/2021,1736,1758,1734.599976,1756.800049,1756.800049,1298,Up
4/9/2021,1750.800049,1750.800049,1733.300049,1743.300049,1743.300049,484,Down
4/12/2021,1740.800049,1740.800049,1726.699951,1731.199951,1731.199951,40,Down
4/13/2021,1733.800049,1746.900024,1722.099976,1746.199951,1746.199951,367,Up
4/14/2021,1741.300049,1745.900024,1732.699951,1734.900024,1734.900024,1037,Down
4/15/2021,1740.099976,1767.900024,1740.099976,1765.400024,1765.400024,368,Up
4/16/2021,1770.400024,1779.5,1770.099976,1779,1779,625,Up
4/19/2021,1782.099976,1788.5,1769.400024,1769.400024,1769.400024,144,Down
4/20/2021,1769.300049,1777.300049,1765.5,1777.300049,1777.300049,1464,Up
4/21/2021,1783,1794.099976,1777.699951,1792.300049,1792.300049,250,Up
4/22/2021,1794.199951,1794.199951,1779.5,1781.199951,1781.199951,159,Down
4/23/2021,1786.099976,1794.5,1772,1777,1777,332,Down
4/26/2021,1778,1779.699951,1770.800049,1779.199951,1779.199951,549,Up
4/27/2021,1780,1782,1777.699951,1778,1778,117,Down
4/28/2021,1768.199951,1774,1764.599976,1773.199951,1773.199951,756,Down
4/29/2021,1781,1789,1758.599976,1768.099976,1768.099976,196,Down
4/30/2021,1771.800049,1771.800049,1763.900024,1767.300049,1767.300049,18,Down
5/3/2021,1788.5,1793,1788.5,1791.400024,1791.400024,18,Up
5/4/2021,1788.199951,1788.5,1774.800049,1775.800049,1775.800049,182,Down
5/5/2021,1781.5,1784.099976,1779.199951,1784.099976,1784.099976,57,Up
